istituto,tasso_affollamento,posti_regolamentari,posti_non_disponibili,posti_disponibili,totale_detenuti,dati_aggiornati_al,polizia_penitenziaria_previsti,polizia_penitenziaria_effettivi,personale_polizia_penitenziaria_aggiornato_al,amministrativi_effettivi,amministrativi_previsti,personale_amministrativo_aggiornato_al,numero_complessivo_stanze,numero_non_disponibili_stanze,doccia,bidet,portatori_handicap,servizi_igienici_con_porta,accensione_luce_autonoma,prese_elettriche,data_aggiornamento_spazi_detentivi,stanze_disponibili,detenuti_stanza,polizia_pers,doccia_pers,bidet_pers,servizi_pers,luci_pers,prese_pers,suicidi_2002,suicidi_2003,suicidi_2004,suicidi_2005,suicidi_2006,suicidi_2007,suicidi_2008,suicidi_2009,suicidi_2010,suicidi_2011,suicidi_2012,suicidi_2013,suicidi_2014,suicidi_2015,suicidi_2016,suicidi_2017,suicidi_2018,suicidi_2019,suicidi_2020,suicidi_2021,suicidi_2022,suicidi_2023,suicidi_2024,suicidi_totali,personale_previsti,personale_effettivi,personale_mancante_perc
Genova Marassi,129.9625468164794,535,1,534,694,2025-04-08,336,339,2025-02-28,30,36,2025-02-28,213.0,1.0,128.0,175.0,3.0,213.0,100.0,0.0,2025-04-08,212.0,3.2735849056603774,0.4884726224783862,5.421875,3.9657142857142857,3.26,6.94,0.0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,372,369,0.8064516129032258
Alba,100.0,138,89,49,49,2025-04-08,107,86,2025-02-28,9,14,2025-02-28,112.0,86.0,22.0,112.0,1.0,112.0,22.0,22.0,2025-04-08,26.0,1.8846153846153846,1.7551020408163265,2.227272727272727,0.4375,0.44,2.227272727272727,0.4489795918367347,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,121,95,21.487603305785125
Milano San Vittore,217.59834368530022,702,219,483,1051,2025-04-08,655,562,2025-02-28,35,45,2025-02-28,492.0,167.0,272.0,184.0,0.0,327.0,325.0,325.0,2025-04-08,325.0,3.233846153846154,0.5347288296860133,3.863970588235294,5.711956521739131,3.21,3.233846153846154,0.30922930542340626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,700,597,14.714285714285714
Belluno,145.0,89,9,80,116,2025-04-08,85,77,2025-02-28,9,14,2025-02-28,50.0,8.0,20.0,20.0,0.0,50.0,40.0,40.0,2025-04-08,42.0,2.761904761904762,0.6637931034482759,5.8,5.8,2.32,2.9,0.3448275862068966,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,99,86,13.131313131313133
Agrigento,138.6100386100386,283,24,259,359,2025-04-08,197,215,2025-02-28,22,23,2025-02-28,247.0,23.0,192.0,42.0,0.0,247.0,228.0,0.0,2025-04-08,224.0,1.6026785714285714,0.5988857938718662,1.8697916666666667,8.547619047619047,1.45,1.5745614035087718,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5,220,237,-7.727272727272727
"Alessandria Cantiello, Gaeta",105.15021459227466,233,0,233,245,2025-04-08,127,126,2025-02-28,13,34,2025-02-28,75.0,0.0,5.0,74.0,0.0,75.0,75.0,0.0,2025-04-08,75.0,3.2666666666666666,0.5142857142857142,49.0,3.310810810810811,3.27,3.2666666666666666,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,161,139,13.664596273291925
Alessandria San Michele,141.3793103448276,265,4,261,369,2025-04-08,210,179,2025-02-28,15,0,2025-02-28,241.0,4.0,7.0,63.0,0.0,241.0,241.0,241.0,2025-04-08,237.0,1.5569620253164558,0.48509485094850946,52.714285714285715,5.857142857142857,1.53,1.5311203319502074,0.6531165311653117,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,210,194,7.6190476190476195
Alghero,55.12820512820513,156,0,156,86,2025-04-08,79,72,2025-02-28,13,16,2025-02-28,62.0,0.0,62.0,0.0,0.0,62.0,62.0,62.0,2025-04-08,62.0,1.3870967741935485,0.8372093023255814,1.3870967741935485,inf,1.39,1.3870967741935485,0.7209302325581395,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,95,85,10.526315789473683
Ancona Montacuto,132.8125,256,0,256,340,2025-04-08,175,142,2025-02-28,19,31,2025-02-28,111.0,0.0,102.0,98.0,3.0,111.0,101.0,101.0,2025-04-08,111.0,3.063063063063063,0.4176470588235294,3.3333333333333335,3.4693877551020407,3.06,3.366336633663366,0.29705882352941176,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6,206,161,21.844660194174757
Ancona Barcaglione,84.0,100,0,100,84,2025-04-08,60,58,2025-02-28,8,0,2025-02-28,98.0,0.0,24.0,0.0,0.0,98.0,98.0,98.0,2025-04-08,98.0,0.8571428571428571,0.6904761904761905,3.5,inf,0.86,0.8571428571428571,1.1666666666666667,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6,60,66,-10.0
Arbus,72.22222222222221,176,50,126,91,2025-04-08,81,71,2025-02-28,13,20,2025-02-28,40.0,10.0,40.0,0.0,0.0,40.0,40.0,40.0,2025-04-08,30.0,3.033333333333333,0.7802197802197802,2.275,inf,2.28,2.275,0.43956043956043955,0,1,2,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,10,101,84,16.831683168316832
Arezzo,156.52173913043478,108,85,23,36,2025-04-08,38,34,2025-02-28,12,15,2025-02-28,57.0,38.0,9.0,3.0,1.0,56.0,57.0,54.0,2025-04-08,19.0,1.894736842105263,0.9444444444444444,4.0,12.0,0.64,0.631578947368421,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,53,46,13.20754716981132
Ariano Irpino,143.25581395348837,263,48,215,308,2025-04-08,165,155,2025-02-28,12,21,2025-02-28,133.0,25.0,121.0,64.0,4.0,133.0,81.0,125.0,2025-04-08,108.0,2.8518518518518516,0.5032467532467533,2.5454545454545454,4.8125,2.32,3.802469135802469,0.40584415584415584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,186,167,10.21505376344086
