Istituto;Capienza regolamentare;Detenuti presenti totali;Mese;Tasso di sovraffollamento;Suicidi
"AGRIGENTO ""P. DI LORENZO""";283;361;01/09/19;127.56;0
"AGRIGENTO ""P. DI LORENZO""";283;347;01/10/19;122.61;0
"AGRIGENTO ""P. DI LORENZO""";283;335;01/11/19;118.37;0
"AGRIGENTO ""P. DI LORENZO""";283;338;01/12/19;119.43;0
"AGRIGENTO ""P. DI LORENZO""";283;338;01/01/20;119.43;0
"AGRIGENTO ""P. DI LORENZO""";283;359;01/02/20;126.86;0
"AGRIGENTO ""P. DI LORENZO""";283;370;01/03/20;130.74;0
"AGRIGENTO ""P. DI LORENZO""";283;337;01/04/20;119.08;0
"AGRIGENTO ""P. DI LORENZO""";283;347;01/05/20;122.61;0
"AGRIGENTO ""P. DI LORENZO""";283;357;01/06/20;126.15;0
"AGRIGENTO ""P. DI LORENZO""";283;364;01/07/20;128.62;0
"AGRIGENTO ""P. DI LORENZO""";283;351;01/08/20;124.03;0
"AGRIGENTO ""P. DI LORENZO""";283;332;01/09/20;117.31;0
"AGRIGENTO ""P. DI LORENZO""";283;331;01/10/20;116.96;0
"AGRIGENTO ""P. DI LORENZO""";283;311;01/11/20;109.89;0
"AGRIGENTO ""P. DI LORENZO""";283;304;01/12/20;107.42;0
"AGRIGENTO ""P. DI LORENZO""";283;326;01/01/21;115.19;0
"AGRIGENTO ""P. DI LORENZO""";283;305;01/02/21;107.77;0
"AGRIGENTO ""P. DI LORENZO""";283;291;01/03/21;102.83;0
"AGRIGENTO ""P. DI LORENZO""";283;276;01/04/21;97.53;0
"AGRIGENTO ""P. DI LORENZO""";283;270;01/05/21;95.41;0
"AGRIGENTO ""P. DI LORENZO""";283;279;01/06/21;98.59;0
"AGRIGENTO ""P. DI LORENZO""";283;298;01/07/21;105.3;0
"AGRIGENTO ""P. DI LORENZO""";283;310;01/08/21;109.54;0
"AGRIGENTO ""P. DI LORENZO""";283;306;01/09/21;108.13;0
"AGRIGENTO ""P. DI LORENZO""";283;297;01/10/21;104.95;0
"AGRIGENTO ""P. DI LORENZO""";283;296;01/11/21;104.59;0
"AGRIGENTO ""P. DI LORENZO""";283;297;01/12/21;104.95;0
"AGRIGENTO ""P. DI LORENZO""";283;302;01/01/22;106.71;0
"AGRIGENTO ""P. DI LORENZO""";283;315;01/02/22;111.31;0
"AGRIGENTO ""P. DI LORENZO""";283;321;01/03/22;113.43;0
"AGRIGENTO ""P. DI LORENZO""";283;313;01/04/22;110.6;0
"AGRIGENTO ""P. DI LORENZO""";283;300;01/05/22;106.01;0
"AGRIGENTO ""P. DI LORENZO""";283;287;01/06/22;101.41;0
"AGRIGENTO ""P. DI LORENZO""";283;293;01/07/22;103.53;0
"AGRIGENTO ""P. DI LORENZO""";283;303;01/08/22;107.07;0
"AGRIGENTO ""P. DI LORENZO""";283;304;01/09/22;107.42;0
"AGRIGENTO ""P. DI LORENZO""";283;299;01/10/22;105.65;0
"AGRIGENTO ""P. DI LORENZO""";283;312;01/11/22;110.25;0
"AGRIGENTO ""P. DI LORENZO""";283;282;01/12/22;99.65;0
"AGRIGENTO ""P. DI LORENZO""";283;297;01/01/23;104.95;0
"AGRIGENTO ""P. DI LORENZO""";283;306;01/02/23;108.13;0
"AGRIGENTO ""P. DI LORENZO""";283;306;01/03/23;108.13;0
"AGRIGENTO ""P. DI LORENZO""";283;303;01/04/23;107.07;0
"AGRIGENTO ""P. DI LORENZO""";283;318;01/05/23;112.37;0
"AGRIGENTO ""P. DI LORENZO""";283;328;01/06/23;115.9;0
"AGRIGENTO ""P. DI LORENZO""";283;328;01/07/23;115.9;0
"AGRIGENTO ""P. DI LORENZO""";283;327;01/08/23;115.55;0
"AGRIGENTO ""P. DI LORENZO""";283;315;01/09/23;111.31;0
"AGRIGENTO ""P. DI LORENZO""";283;316;01/10/23;111.66;0
"AGRIGENTO ""P. DI LORENZO""";283;299;01/11/23;105.65;0
"AGRIGENTO ""P. DI LORENZO""";283;322;01/12/23;113.78;0
"AGRIGENTO ""P. DI LORENZO""";283;327;01/01/24;115.55;0
"AGRIGENTO ""P. DI LORENZO""";283;339;01/02/24;119.79;0
"AGRIGENTO ""P. DI LORENZO""";283;341;01/03/24;120.49;0
"AGRIGENTO ""P. DI LORENZO""";283;348;01/04/24;122.97;0
"AGRIGENTO ""P. DI LORENZO""";283;361;01/05/24;127.56;0
"AGRIGENTO ""P. DI LORENZO""";283;384;01/06/24;135.69;0
"AGRIGENTO ""P. DI LORENZO""";283;364;01/07/24;128.62;0
"AGRIGENTO ""P. DI LORENZO""";283;375;01/08/24;132.51;0
"AGRIGENTO ""P. DI LORENZO""";283;385;01/09/24;136.04;0
"AGRIGENTO ""P. DI LORENZO""";283;385;01/10/24;136.04;0
"AGRIGENTO ""P. DI LORENZO""";283;370;01/11/24;130.74;0
"AGRIGENTO ""P. DI LORENZO""";283;339;01/12/24;119.79;0
"AGRIGENTO ""P. DI LORENZO""";283;362;01/01/25;127.92;0
"AGRIGENTO ""P. DI LORENZO""";283;360;01/02/25;127.21;0
"AGRIGENTO ""P. DI LORENZO""";283;362;01/03/25;127.92;0
"AGRIGENTO ""P. DI LORENZO""";283;321;01/01/19;113.43;0
"AGRIGENTO ""P. DI LORENZO""";283;333;01/02/19;117.67;0
"AGRIGENTO ""P. DI LORENZO""";283;336;01/03/19;118.73;0
"AGRIGENTO ""P. DI LORENZO""";283;335;01/04/19;118.37;0
"AGRIGENTO ""P. DI LORENZO""";283;338;01/05/19;119.43;0
"AGRIGENTO ""P. DI LORENZO""";283;347;01/06/19;122.61;0
"AGRIGENTO ""P. DI LORENZO""";283;356;01/07/19;125.8;0
"AGRIGENTO ""P. DI LORENZO""";283;352;01/08/19;124.38;0
"ALBA ""G. MONTALTO""";142;47;01/09/19;33.1;0
"ALBA ""G. MONTALTO""";142;50;01/10/19;35.21;0
"ALBA ""G. MONTALTO""";142;47;01/11/19;33.1;0
"ALBA ""G. MONTALTO""";142;45;01/12/19;31.69;0
"ALBA ""G. MONTALTO""";142;49;01/01/20;34.51;0
"ALBA ""G. MONTALTO""";142;48;01/02/20;33.8;0
"ALBA ""G. MONTALTO""";142;47;01/03/20;33.1;0
"ALBA ""G. MONTALTO""";142;39;01/04/20;27.46;0
"ALBA ""G. MONTALTO""";142;36;01/05/20;25.35;0
"ALBA ""G. MONTALTO""";142;34;01/06/20;23.94;0
"ALBA ""G. MONTALTO""";142;32;01/07/20;22.54;0
"ALBA ""G. MONTALTO""";142;38;01/08/20;26.76;0
"ALBA ""G. MONTALTO""";142;41;01/09/20;28.87;0
"ALBA ""G. MONTALTO""";142;44;01/10/20;30.99;0
"ALBA ""G. MONTALTO""";142;45;01/11/20;31.69;1
"ALBA ""G. MONTALTO""";142;48;01/12/20;33.8;0
"ALBA ""G. MONTALTO""";142;46;01/01/21;32.39;0
"ALBA ""G. MONTALTO""";142;44;01/02/21;30.99;0
"ALBA ""G. MONTALTO""";142;42;01/03/21;29.58;0
"ALBA ""G. MONTALTO""";142;43;01/04/21;30.28;0
"ALBA ""G. MONTALTO""";142;13;01/05/21;9.15;0
"ALBA ""G. MONTALTO""";142;34;01/06/21;23.94;0
"ALBA ""G. MONTALTO""";142;38;01/07/21;26.76;0
"ALBA ""G. MONTALTO""";142;39;01/08/21;27.46;0
"ALBA ""G. MONTALTO""";142;39;01/09/21;27.46;0
"ALBA ""G. MONTALTO""";142;39;01/10/21;27.46;0
"ALBA ""G. MONTALTO""";142;39;01/11/21;27.46;0
"ALBA ""G. MONTALTO""";142;40;01/12/21;28.17;0
"ALBA ""G. MONTALTO""";142;39;01/01/22;27.46;0
"ALBA ""G. MONTALTO""";142;37;01/02/22;26.06;0
"ALBA ""G. MONTALTO""";142;42;01/03/22;29.58;0
"ALBA ""G. MONTALTO""";142;44;01/04/22;30.99;0
"ALBA ""G. MONTALTO""";142;43;01/05/22;30.28;0
"ALBA ""G. MONTALTO""";142;41;01/06/22;28.87;0
"ALBA ""G. MONTALTO""";142;39;01/07/22;27.46;0
"ALBA ""G. MONTALTO""";138;39;01/08/22;28.26;0
"ALBA ""G. MONTALTO""";138;36;01/09/22;26.09;0
"ALBA ""G. MONTALTO""";138;38;01/10/22;27.54;0
"ALBA ""G. MONTALTO""";138;35;01/11/22;25.36;0
"ALBA ""G. MONTALTO""";138;33;01/12/22;23.91;0
"ALBA ""G. MONTALTO""";138;32;01/01/23;23.19;0
"ALBA ""G. MONTALTO""";138;33;01/02/23;23.91;0
"ALBA ""G. MONTALTO""";138;34;01/03/23;24.64;0
"ALBA ""G. MONTALTO""";138;35;01/04/23;25.36;0
"ALBA ""G. MONTALTO""";138;39;01/05/23;28.26;0
"ALBA ""G. MONTALTO""";138;38;01/06/23;27.54;0
"ALBA ""G. MONTALTO""";138;35;01/07/23;25.36;0
"ALBA ""G. MONTALTO""";138;37;01/08/23;26.81;0
"ALBA ""G. MONTALTO""";138;35;01/09/23;25.36;0
"ALBA ""G. MONTALTO""";138;36;01/10/23;26.09;0
"ALBA ""G. MONTALTO""";138;39;01/11/23;28.26;0
"ALBA ""G. MONTALTO""";138;42;01/12/23;30.43;0
"ALBA ""G. MONTALTO""";138;41;01/01/24;29.71;0
"ALBA ""G. MONTALTO""";138;43;01/02/24;31.16;0
"ALBA ""G. MONTALTO""";138;46;01/03/24;33.33;0
"ALBA ""G. MONTALTO""";138;42;01/04/24;30.43;0
"ALBA ""G. MONTALTO""";138;43;01/05/24;31.16;0
"ALBA ""G. MONTALTO""";138;42;01/06/24;30.43;0
"ALBA ""G. MONTALTO""";138;42;01/07/24;30.43;0
"ALBA ""G. MONTALTO""";138;40;01/08/24;28.99;0
"ALBA ""G. MONTALTO""";138;37;01/09/24;26.81;0
"ALBA ""G. MONTALTO""";138;42;01/10/24;30.43;0
"ALBA ""G. MONTALTO""";138;42;01/11/24;30.43;0
"ALBA ""G. MONTALTO""";138;44;01/12/24;31.88;0
